id,G_RP,BP_G
0,-0.5754162674166352,-0.2783959468902921
1,-0.5695117954584745,-0.2754900367950768
2,-0.5682191148461371,-0.27473602671821595
3,-0.5580926804705584,-0.27126477035885443
4,-0.5568542155285954,-0.27052831958844337
5,-0.5558900676513616,-0.2698225393063183
6,-0.5555500643595366,-0.26923449493972385
7,-0.5557051496649237,-0.26869881191004197
8,-0.5558521214615766,-0.2680569238333632
9,-0.5551036654551282,-0.26701127006447933
10,-0.5529484258974904,-0.26538368035452464
11,-0.5435919387257897,-0.26009981253081804
12,-0.5019296991751716,-0.2398065134363847
13,-0.43900451807154184,-0.2079696655601353
14,-0.3820223163078822,-0.17845180215313405
15,-0.3270413615874048,-0.14852384792263962
16,-0.2442284192019315,-0.1035295168440129
17,-0.228698508548014,-0.09536437107299633
18,-0.18936313060669363,-0.07476123099214504
19,-0.13357469327318228,-0.04481791555855352
20,0.008313893296751473,0.03767727409398702
21,0.04466922624377645,0.06116491122628531
22,0.11830082997575175,0.11317587488227332
23,0.1561169468325616,0.14270499361013833
24,0.1991996205416342,0.17897065128353518
25,0.23833488032625638,0.21453700769561834
26,0.27927714041691587,0.2539694504710681
27,0.32180778769638607,0.29715313768316065
28,0.41688136444560797,0.4018017373273537
29,0.47320715382934253,0.4706007568324537
30,0.5392740806238336,0.5593439644215223
31,0.6098177779382823,0.6642396178346601
32,0.6778996227865477,0.776298546534143
33,0.7535117869527568,0.9208312228326818
34,0.7522554716325089,0.922419723455846
35,-0.5327558796238563,-0.2570159258308422
36,-0.3825218069003711,-0.1797745262303323
37,0.229540387071566,0.20660575982507368
38,0.31944336603601187,0.2948375588892773
39,0.4151794864159868,0.4018251219161115
40,0.5919646879227614,0.6382446824390726
41,0.6810562597312781,0.7843822621032857
42,-0.5003910300862913,-0.24457370378824805
43,-0.3568294643401444,-0.1697377756714218
44,-0.2512163322277061,-0.11278623087674333
45,-0.20746614099652305,-0.08825022676533933
46,-0.1347545769159666,-0.04865353896691005
47,-0.02861487716937461,0.013410414695954387
48,0.2730964604549726,0.2506131447975264
49,0.4261498458443427,0.4176686202240347
50,0.4737257969717916,0.4762210866896197
51,0.6945148710574358,0.8178572942553473
52,0.6945148710574358,0.8178572942553473
53,0.8140180452733787,1.0673358435149254
54,-0.5796494610203666,-0.2799530475873624
55,-0.5732763894754456,-0.27687752871698024
56,-0.5716357380131001,-0.2760094554307173
57,-0.5616222417207979,-0.2725873269332624
58,-0.5601388930432591,-0.27177646964381097
59,-0.558753070633891,-0.27093949252245864
60,-0.5578532282233155,-0.27018111703331726
61,-0.5574236917944617,-0.2694754086261142
62,-0.557212162629618,-0.2687456040899576
63,-0.5565896078716719,-0.26778084031693794
64,-0.5548906553504835,-0.2663603252266
65,-0.5465160558272331,-0.26155660714192663
66,-0.5059332720715162,-0.24194740318239383
67,-0.44589301072990395,-0.21137981014256013
68,-0.38772742214229083,-0.18146982455671434
69,-0.3333646600976934,-0.15145407511420927
70,-0.2480890560714073,-0.10527298475516034
71,-0.23224506659784083,-0.09689995165982168
72,-0.1920599839858852,-0.07546772850654548
73,-0.13539521667346577,-0.044790455365443904
74,0.00915742483535098,0.0404974852998663
75,0.04650946617795171,0.06510218701921389
76,0.1227804710599969,0.12027214628285776
77,0.16206454387051394,0.15165879804244753
78,0.20567973505382753,0.18886147060400305
79,0.24573958211146163,0.22554155069818904
80,0.2873361584526961,0.2658702337506895
81,0.330401755352554,0.3098498209710172
82,0.42833655996249576,0.41870425431901026
83,0.48591277113578,0.48990401760290325
84,0.5519775405797418,0.5785667107948171
85,0.6355274795743,0.702830629750359
86,0.727860311895796,0.862191464591227
87,0.8240406875968276,1.0696255764950635
88,0.8060198183619462,1.0309891733515428
89,-0.5346229774342035,-0.25811677637008756
90,-0.38853354276284335,-0.18291967256180186
91,0.2393252618831596,0.2201393378770078
92,0.3301771436646561,0.3107915147677147
93,0.4248422458049248,0.4177431719382696
94,0.6099486176801534,0.6687215420753532
95,0.7206440064835533,0.8572662763370289
96,-0.5002615714090481,-0.24514717425302024
97,-0.3623051419891681,-0.17267171279785032
98,-0.25556935435334793,-0.11473766946362218
99,-0.2087831979936965,-0.08839500181348114
100,-0.13217281483743193,-0.04598514813480392
101,-0.021745367568890117,0.01995663940875403
102,0.2858275415179179,0.26795903087187867
103,0.4304437748344654,0.42730985975374125
104,0.4789173402666833,0.4866405975246053
105,0.7079054329909553,0.8415611068227449
106,0.7079054329909553,0.8415611068227449
107,0.8657709574014305,1.1981010422715812
