_q,_r,_RAJ2000,_DEJ2000,Source,PM,pmRA,pmDE,RUWE,Dup,Mode,FG,e_FG,Gmag,e_Gmag,o_Gmag,FBP,e_FBP,BPmag,e_BPmag,o_BPmag,FRP,e_FRP,RPmag,e_RPmag,PS1,SDSSDR13,SkyMapper2
1,0.161,15.8424768190507,-0.3465820124851,2536159496590552704,9.016,6.196,-6.550,1.067,0,0,358.1,1.015,19.302286,0.004130,331,295.1,9.004,19.163628,0.033246,33,107.2,5.195,19.672174,0.052744,107580158424764461,1237663783667433549,13917273
2,0.208,37.0715471816722,-8.4545421169785,5176546064064586624,11.362,10.916,3.151,1.103,0,0,192.7,1.116,19.975046,0.006865,199,161.2,11.1,19.819794,0.074806,15,74.47,11.74,20.067978,0.171198,97850370715284759,1237652900764123274,15378832
3,0.060,42.2289995774419,33.7634221323621,139724391470489472,6.277,4.093,-4.759,0.949,0,0,735.4,1.544,18.521025,0.003576,235,583.8,11.06,18.422892,0.020760,24,252.5,10.08,18.742370,0.043495,148510422289556735,1237670961627726034,
4,0.120,111.9698709373480,32.2378213155635,892231562565363072,14.862,-13.151,-6.923,0.931,0,0,998.8,1.747,18.188688,0.003346,222,828.5,9.837,18.042826,0.013189,23,329.9,12.22,18.451817,0.040384,146681119698436001,1237674366990549248,
5,0.007,123.7865666263436,7.5293826656622,3097940536010212736,5.523,5.519,-0.190,1.029,0,0,200.6,0.9891,19.931767,0.006022,220,166.1,7.751,19.787401,0.050731,22,63.1,7.491,20.247822,0.128959,117031237865415713,1237661069773701663,
6,0.318,156.1288937396959,-0.5352971338099,3830980604624181376,22.043,-21.301,-5.670,0.970,0,0,438.2,1.406,19.083263,0.004442,156,344.4,10.37,18.995747,0.032811,19,160.5,7.812,19.234081,0.052971,107351561288148089,1237648720683401246,92708171
7,0.202,167.7476225947712,-17.1650500143926,3559181712491390208,9.695,5.454,-8.015,1.073,0,0,1137,1.346,18.047983,0.003040,478,935.3,7.859,17.911170,0.009540,52,355.2,9.95,18.371702,0.030648,87401677476402284,1237671139862052954,91754924
8,0.184,167.8637877189856,39.9411272943187,765355922242992000,4.010,2.734,2.933,1.068,0,0,656.8,1.399,18.643780,0.003597,263,551.4,10.27,18.484890,0.020409,29,187.2,9.08,19.066935,0.052792,155931678637970024,1237664670050484289,
9,0.314,181.7100651964117,2.0284755725557,3891742709551744640,23.908,-5.061,-23.367,0.977,0,0,543.4,1.019,18.849570,0.003426,423,433.7,13.27,18.745556,0.033329,46,187.4,7.485,19.065838,0.043525,110431817100904541,1237651735757717521,112201734
10,0.134,183.5212941020645,45.6384453523918,1539041748873288704,13.927,0.278,13.925,1.085,0,0,1212,1.644,17.978836,0.003125,486,1003,7.157,17.835752,0.008238,52,406.2,9.708,18.226002,0.026222,162761835213366810,1237661852005826602,
11,0.403,195.6434845647276,10.2108294230984,3734528631432609920,21.184,-12.856,-16.837,0.989,0,0,2395,2.047,17.239063,0.002907,439,1976,7.59,17.098938,0.005017,44,763,9.367,17.541601,0.013854,120251956434903476,1237662238007885834,
12,0.100,198.6877072920415,-3.2376652304582,3684543213630134784,6.890,-3.930,-5.659,1.012,0,0,356.6,0.9542,19.306833,0.004004,346,272.1,7.742,19.251612,0.031016,43,100.3,7.682,19.744543,0.083236,104111986877165205,1237650760788082734,107766834
13,0.428,228.5886365330338,0.7980026029168,4419865155422033280,27.205,4.350,-26.855,1.034,0,0,8347,6.584,15.883505,0.002885,173,6690,18.73,15.774894,0.004126,19,2850,15.27,16.110773,0.006936,108952285886717975,1237648722325733580,304414165
14,0.390,239.4391746235415,55.7693624894213,1621657158502507520,24.447,-11.677,-21.478,1.141,0,0,1579,1.999,17.691374,0.003079,290,1332,11.78,17.527460,0.010004,34,484.1,11.13,18.035630,0.025258,174922394391413855,1237651539797934128,
15,0.165,249.5015081423748,0.7882729135000,4383979187540364288,9.571,-9.171,-2.737,1.018,0,0,462.3,0.9117,19.024992,0.003489,444,372.1,7.255,18.911871,0.021352,48,142.7,5.445,19.362165,0.041613,108942495015106395,1237648675071459657,
16,0.220,273.6005731035604,78.9008054134263,2293913930823813888,15.759,-10.738,11.535,0.915,0,0,3776,2.952,16.744831,0.002883,361,3093,16.2,16.612446,0.006333,40,1219,9.285,17.033170,0.009095,202682736002931825,1237663230143365168,
17,0.226,315.4610687578331,-5.7641588479595,6910475935427725824,15.376,9.984,-11.694,0.977,0,0,555,0.9283,18.826590,0.003300,507,436.4,6.265,18.738829,0.015834,54,182.4,6.312,19.095602,0.037771,101083154611083390,1237652600636309799,4276630
18,0.296,352.4222046465784,0.1855009276788,2644572064644349952,16.920,-7.982,-14.919,0.976,0,0,907.8,1.579,18.292364,0.003340,257,692.7,13.3,18.237154,0.021034,22,340.8,9.636,18.416730,0.030934,108223524222323007,1237663784194080802,16467075
19,0.218,357.9345693490720,37.9285354846300,2881271732415859072,19.188,-16.412,-9.941,0.965,0,0,957.5,1.426,18.234518,0.003195,299,770.1,14.26,18.122221,0.020298,31,315.5,7.426,18.500256,0.025829,153513579345744806,1237663234448228480,
